Title,Genre,In Theaters,Critics Score,Number of Critic Ratings,Audience Score,Number of User Ratings,Budget,Box Office US & Canada,Box Office Worldwide,Runtime Minutes,Synopsis,Critics Consensus,Studio,Content Rating,URL
Blade Runner 2049,Fantasy & Science Fiction,2017-10-06,87%,425,81%,59452,"$150,000,000 ","$91,800,042 ","$260,500,000 ",164,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K (Ryan Gosling), unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard (Harrison Ford), a former LAPD blade runner who has been missing for 30 years.","Visually stunning and narratively satisfying, Blade Runner 2049 deepens and expands its predecessor's story while standing as an impressive filmmaking achievement in its own right.",Warner Bros. Pictures,R ,https://www.rottentomatoes.com/m/blade_runner_2049/
Booksmart,Comedy,2019-05-24,97%,338,77%,4111,"$6,000,000 ","$22,680,962 ","$24,800,000 ",105,"The story follows Dever and Feldstein's characters, two academic superstars and best friends who, on the eve of their high school graduation, suddenly realize that they should have worked less and played more. Determined never to fall short of their peers, the girls set out on a mission to cram four years of fun into one night.","Fast-paced, funny, and fresh, Booksmart does the seemingly impossible by adding a smart new spin to the coming-of-age comedy.",United Artists,R ,https://www.rottentomatoes.com/m/booksmart/
Boyhood,Drama,2014-07-11,97%,313,80%,89561,"$4,000,000 ","$18,859,617 ","$57,300,000 ",165,"Filmed over 12 years with the same cast, Richard Linklater's BOYHOOD is a groundbreaking story of growing up as seen through the eyes of a child named Mason (a breakthrough performance by Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha, BOYHOOD charts the rocky terrain of childhood like no other film has before. Snapshots of adolescence from road trips and family dinners to birthdays and graduations and all the moments in between become transcendent, set to a soundtrack spanning the years from Coldplay's Yellow to Arcade Fire's Deep Blue. BOYHOOD is both a nostalgic time capsule of the recent past and an ode to growing up and parenting. It's impossible to watch Mason and his family without thinking about our own journey. (c) Sundance Film Fest","Epic in technical scale but breathlessly intimate in narrative scope, Boyhood is a sprawling investigation of the human condition.",IFC Films,R ,https://www.rottentomatoes.com/m/boyhood/
BPM (Beats Per Minute) (120 battements par minute),Drama,2017-10-20,98%,126,84%,1307,"$6,200,000 ","$118,384 ","$7,700,000 ",146,"In Paris in the early 1990s, a group of activists goes to battle for those stricken with HIV/AIDS, taking on sluggish government agencies and major pharmaceutical companies in bold, invasive actions. The organization is ACT UP, and its members, many of them gay and HIV-positive, embrace their mission with a literal life-or-death urgency. Amid rallies, protests, fierce debates and ecstatic dance parties, the newcomer Nathan falls in love with Sean, the group's radical firebrand, and their passion sparks against the shadow of mortality as the activists fight for a breakthrough.","Moving without resorting to melodrama, BPM offers an engrossing look at a pivotal period in history that lingers long after the closing credits roll.",Les Films de Pierre,NR,https://www.rottentomatoes.com/m/bpm/
Bridge of Spies,Drama,2015-10-16,91%,298,87%,65297,"$40,000,000 ","$72,313,754 ","$165,500,000 ",135,"Tom Hanks stars as the American attorney tasked with negotiating the release of a U-2 spy plane pilot who was shot down over Russia at the height of the Cold War in this historical drama from DreamWorks Studios. Steven Spielberg and Mark E. Platt produce a film written by Matt Charman. ~ Jason Buchanan, Rovi","Bridge of Spies finds new life in Hollywood's classic Cold War espionage thriller formula, thanks to reliably outstanding work from Steven Spielberg and Tom Hanks.",Dreamworks Pictures,PG-13 ,https://www.rottentomatoes.com/m/bridge_of_spies/
Brooklyn,Drama,2015-11-04,97%,266,87%,46717,"$11,000,000 ","$30,459,009 ","$62,100,000 ",111,"BROOKLYN tells the profoundly moving story of Eilis Lacey (Saoirse Ronan), a young Irish immigrant navigating her way through 1950s Brooklyn. Lured by the promise of America, Eilis departs Ireland and the comfort of her mother's home for the shores of New York City. The initial shackles of homesickness quickly diminish as a fresh romance sweeps Eilis into the intoxicating charm of love. But soon, her new vivacity is disrupted by her past, and Eilis must choose between two countries and the lives that exist within. (C) Fox Searchlight",Brooklyn buttresses outstanding performances from Saoirse Ronan and Emory Cohen with a rich period drama that tugs at the heartstrings as deftly as it satisfies the mind.,Fox Searchlight Pictures,PG-13 ,https://www.rottentomatoes.com/m/brooklyn/
Bumblebee,Action & Adventure,2018-12-21,92%,235,74%,9353,"$135,000,000 ","$127,195,589 ","$468,000,000 ",119,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie (Hailee Steinfeld), on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken. When Charlie revives him, she quickly learns this is no ordinary, yellow VW bug.",Bumblebee proves it's possible to bring fun and a sense of wonder back to a bloated blockbuster franchise -- and sets up its own slate of sequels in the bargain.,Paramount Pictures,PG-13 ,https://www.rottentomatoes.com/m/bumblebee/
Burning (Beoning),Mystery & Suspense,2018-10-26,95%,185,82%,1465,,"$718,991 ","$7,100,000 ",148,"BURNING tells the story of three individuals and a mysterious incident they experience. Jongsu bumps into an old friend, Haemi, on a part-time delivery job. Haemi asks Jongsu to take care of her cat while she leaves on a trip to Africa. When she returns, Haemi introduces Jongsu to Ben, a man she met in Africa. One day, Ben and Haemi pay Jongsu a visit, and Ben reveals his secret interests to Jongsu.",Burning patiently lures audiences into a slow-burning character study that ultimately rewards the viewer's patience -- and subverts many of their expectations.,Well Go USA Entertainment,NR,https://www.rottentomatoes.com/m/burning_2018/
Call Me by Your Name,Romance,2018-01-19,95%,341,86%,15176,"$3,400,000 ","$18,095,701 ","$41,000,000 ",130,"CALL ME BY YOUR NAME, the new film by Luca Guadagnino, is a sensual and transcendent tale of first love, based on the acclaimed novel by André Aciman. It's the summer of 1983 in the north of Italy, and Elio Perlman (Timothée Chalamet), a precocious 17- year-old American-Italian, spends his days in his family's 17th century villa transcribing and playing classical music, reading, and flirting with his friend Marzia (Esther Garrel). Elio enjoys a close relationship with his father (Michael Stuhlbarg), an eminent professor specializing in Greco-Roman culture, and his mother Annella (Amira Casar), a translator, who favor him with the fruits of high culture in a setting that overflows with natural delights. While Elio's sophistication and intellectual gifts suggest he is already a fully-fledged adult, there is much that yet remains innocent and unformed about him, particularly about matters of the heart. One day, Oliver (Armie Hammer), a charming American scholar working on his doctorate, arrives as the annual summer intern tasked with helping Elio's father. Amid the sun-drenched splendor of the setting, Elio and Oliver discover the heady beauty of awakening desire over the course of a summer that will alter their lives forever.","Call Me by Your Name offers a melancholy, powerfully affecting portrait of first love, empathetically acted by Timothée Chalamet and Armie Hammer.",Sony Pictures Classics,R ,https://www.rottentomatoes.com/m/call_me_by_your_name/
Cameraperson,Documentary,2016-09-09,99%,99,68%,961,,"$101,074 ","$110,000 ",102,"A boxing match in Brooklyn; life in postwar Bosnia and Herzegovina; the daily routine of a Nigerian midwife; an intimate family moment at home: these scenes and others are woven into Cameraperson, a tapestry of footage collected over the twenty-five-year career of documentary cinematographer Kirsten Johnson. Through a series of episodic juxtapositions, Johnson explores the relationships between image makers and their subjects, the tension between the objectivity and intervention of the camera, and the complex interaction of unfiltered reality and crafted narrative. A hybrid work that combines documentary, autobiography, and ethical inquiry, Cameraperson is both a moving glimpse into one filmmaker's personal journey and a thoughtful examination of what it means to train a camera on the world.","Fresh and inventive yet immediately accessible, Cameraperson distills its subject's life and career into an experience that should prove immediately absorbing even for those unfamiliar with her work.",Fork Films,NR,https://www.rottentomatoes.com/m/cameraperson/
Can You Ever Forgive Me?,Drama,2018-10-19,98%,292,80%,2910,"$10,000,000 ","$8,803,865 ","$11,700,000 ",107,"In CAN YOU EVER FORGIVE ME?, Melissa McCarthy stars as Lee Israel, the best-selling celebrity biographer (and cat lover) who made her living in the 1970's and 80's profiling the likes of Katharine Hepburn, Tallulah Bankhead, Estée Lauder and journalist Dorothy Kilgallen. When Lee found herself unable to get published because she had fallen out of step with the marketplace, she turned her art form to deception, abetted by her loyal friend Jack (Richard E. Grant).","Deftly directed and laced with dark wit, Can You Ever Forgive Me? proves a compelling showcase for deeply affecting work from Richard E. Grant and Melissa McCarthy.",Fox Searchlight Pictures,R ,https://www.rottentomatoes.com/m/can_you_ever_forgive_me/
Captain America: Civil War,Action & Adventure,2016-05-06,91%,402,89%,179422,"$250,000,000 ","$408,080,554 ","$1,153,000,000 ",146,"Marvel's ""Captain America: Civil War"" finds Steve Rogers leading the newly formed team of Avengers in their continued efforts to safeguard humanity. But after another incident involving the Avengers results in collateral damage, political pressure mounts to install a system of accountability, headed by a governing body to oversee and direct the team. The new status quo fractures the Avengers, resulting in two camps-one led by Steve Rogers and his desire for the Avengers to remain free to defend humanity without government interference, and the other following Tony Stark's surprising decision to support government oversight and accountability.",Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,Walt Disney Pictures,PG-13 ,https://www.rottentomatoes.com/m/captain_america_civil_war/
Captain Phillips,Drama,2013-10-11,93%,269,89%,152308,"$55,000,000 ","$107,100,855 ","$218,800,000 ",134,"Captain Phillips is a multi-layered examination of the 2009 hijacking of the U.S. container ship Maersk Alabama by a crew of Somali pirates. It is - through director Paul Greengrass's distinctive lens - simultaneously a pulse-pounding thriller, and a complex portrait of the myriad effects of globalization. The film focuses on the relationship between the Alabama's commanding officer, Captain Richard Phillips (two time Academy Award (R)-winner Tom Hanks), and the Somali pirate captain, Muse (Barkhad Abdi), who takes him hostage. Phillips and Muse are set on an unstoppable collision course when Muse and his crew target Phillips' unarmed ship; in the ensuing standoff, 145 miles off the Somali coast, both men will find themselves at the mercy of forces beyond their control. The film is directed by Academy Award (R) nominee Paul Greengrass, from a screenplay by Billy Ray based upon the book, A Captain's Duty: Somali Pirates, Navy SEALs, and Dangerous Days at Sea, by Richard Phillips with Stephan Talty. The film is produced by Scott Rudin, Dana Brunetti, and Michael De Luca.(c) Sony","Smart, powerfully acted, and incredibly intense, Captain Phillips offers filmgoers a Hollywood biopic done right -- and offers Tom Hanks a showcase for yet another brilliant performance.",Sony Pictures,PG-13 ,https://www.rottentomatoes.com/m/captain_phillips/
Carol,Drama,2015-11-20,94%,301,74%,29484,"$11,800,000 ","$8,518,148 ","$42,900,000 ",118,"In this adaptation of the novel ""The Price of Salt"" by Patricia Highsmith, Therese (Rooney Mara), a young department-store clerk in 1950s Manhattan, meets Carol (Cate Blanchett), a beautiful older woman stuck in a depressing marriage of convenience. As their bond deepens and they become romantically involved, Carol finds the strength to leave her husband (Kyle Chandler). Unfortunately, her spouse starts to raise questions about her fitness as a mother when he realizes that Carol's relationships with her best friend Abby (Sarah Paulson) and Therese are more than just friendships. Directed by Todd Haynes.","Shaped by Todd Haynes' deft direction and powered by a strong cast led by Cate Blanchett and Rooney Mara, Carol lives up to its groundbreaking source material.",The Weinstein Company,R ,https://www.rottentomatoes.com/m/carol/
Coco,Animation,2017-11-22,97%,330,94%,27148,"$175,000,000 ","$208,487,719 ","$807,100,000 ",109,"Despite his family's baffling generations-old ban on music, Miguel (voice of newcomer Anthony Gonzalez) dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz (voice of Benjamin Bratt). Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector (voice of Gael García Bernal), and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","Coco's rich visual pleasures are matched by a thoughtful narrative that takes a family-friendly -- and deeply affecting -- approach to questions of culture, family, life, and death.",Disney/Pixar,PG ,https://www.rottentomatoes.com/m/coco_2017/
Crazy Rich Asians,Comedy,2018-08-15,91%,337,76%,12282,"$30,000,000 ","$174,532,921 ","$238,500,000 ",120,"""Crazy Rich Asians"" follows native New Yorker Rachel Chu (Wu) as she accompanies her longtime boyfriend, Nick Young (Golding), to his best friend's wedding in Singapore. Excited about visiting Asia for the first time but nervous about meeting Nick's family, Rachel is unprepared to learn that Nick has neglected to mention a few key details about his life. It turns out that he is not only the scion of one of the country's wealthiest families but also one of its most sought-after bachelors. Being on Nick's arm puts a target on Rachel's back, with jealous socialites and, worse, Nick's own disapproving mother (Yeoh) taking aim. And it soon becomes clear that while money can't buy love, it can definitely complicate things.","With a terrific cast and a surfeit of visual razzle dazzle, Crazy Rich Asians takes a satisfying step forward for screen representation while deftly drawing inspiration from the classic -- and still effective -- rom-com formula.",Warner Bros. Pictures,PG-13 ,https://www.rottentomatoes.com/m/crazy_rich_asians/
Creed,Drama,2015-11-25,95%,298,89%,75818,"$35,000,000 ","$81,157,671 ","$173,600,000 ",132,"Adonis Johnson Creed (Michael B. Jordan), the son of former heavyweight champion Apollo Creed, attempts to follow in his father's footsteps and become a boxing legend in his own right. Apollo died in the ring in the 1980s at the hand of Russian pugilist Ivan Drago, forcing Adonis to grow up without his dad in his life. The young man travels to Philadelphia to find his late father's nemesis-turned-best friend, Rocky Balboa (Sylvester Stallone), in order to recruit him as a trainer. Balboa soon takes the young Creed under his wing and helps him get in shape for a shot at the title. Ryan Coogler directs this spin-off of the hugely successful Rocky franchise.",Creed brings the Rocky franchise off the mat for a surprisingly effective seventh round that extends the boxer's saga in interesting new directions while staying true to its classic predecessors' roots.,Warner Bros.,PG-13 ,https://www.rottentomatoes.com/m/creed_2015/
Dallas Buyers Club,Drama,2013-11-01,93%,255,91%,92546,"$5,000,000 ","$23,750,994 ","$55,200,000 ",117,"Matthew McConaughey stars in DALLAS BUYERS CLUB as real-life Texas cowboy Ron Woodroof, whose free-wheeling life was overturned in 1985 when he was diagnosed as HIV-positive and given 30 days to live. These were the early days of the AIDS epidemic, and the U.S. was divided over how to combat the virus. Ron, now shunned and ostracized by many of his old friends, and bereft of government-approved effective medicines, decided to take matters in his own hands, tracking down alternative treatments from all over the world by means both legal and illegal. Bypassing the establishment, the entrepreneurial Woodroof joined forces with an unlikely band of renegades and outcasts - who he once would have shunned - and established a hugely successful ""buyers' club."" Their shared struggle for dignity and acceptance is a uniquely American story of the transformative power of resilience. (c) Focus Features","Dallas Buyers Club rests squarely on Matthew McConaughey's scrawny shoulders, and he carries the burden gracefully with what might be a career-best performance.",Focus Features,R ,https://www.rottentomatoes.com/m/dallas_buyers_club_2013/
Dawn Of The Planet Of The Apes,Fantasy & Science Fiction,2014-07-11,91%,307,88%,204399,"$170,000,000 ","$183,278,877 ","$710,600,000 ",130,"A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier. They reach a fragile peace, but it proves short-lived, as both sides are brought to the brink of a war that will determine who will emerge as Earth's dominant species. (c) Fox","With intelligence and emotional resonance to match its stunning special effects, Dawn of the Planet of the Apes expands on its predecessor with an exciting and ambitious burst of sci-fi achievement.",20th Century Fox,PG-13 ,https://www.rottentomatoes.com/m/dawn_of_the_planet_of_the_apes/
The Death of Stalin,Comedy,2018-03-09,96%,239,78%,6124,,"$8,047,856 ","$24,600,000 ",107,"The one-liners fly as fast as political fortunes fall in this uproarious, wickedly irreverent satire from Armando Iannucci (Veep, In the Loop). Moscow, 1953: when tyrannical dictator Joseph Stalin drops dead, his parasitic cronies square off in a frantic power struggle to be the next Soviet leader. Among the contenders are the dweeby Georgy Malenkov (Jeffrey Tambor), the wily Nikita Khrushchev (Steve Buscemi), and the sadistic secret police chief Lavrentiy Beria (Simon Russell Beale). But as they bumble, brawl, and backstab their way to the top, just who is running the government? Combining palace intrigue with rapid-fire farce, this audacious comedy is a bitingly funny takedown of bureaucratic dysfunction performed to the hilt by a sparkling ensemble cast.","The Death of Stalin finds director/co-writer Arnando Iannucci in riotous form, bringing his scabrous political humor to bear on a chapter in history with painfully timely parallels.",IFC Films,R ,https://www.rottentomatoes.com/m/the_death_of_stalin/
The Disaster Artist,Comedy,2017-12-08,91%,330,86%,14930,"$10,000,000 ","$21,120,616 ","$29,800,000 ",104,"The real life story of writer/director Tommy Wiseau, the man behind what is often referred to as ""The Citizen Kane of Bad Movies,"" The Room, is brought to life, chronicling the odd film's troubled development and eventual cult success.","Oh, hai Mark. The Disaster Artist is a surprisingly poignant and charming movie-about-a-movie that explores the creative process with unexpected delicacy.",A24,R ,https://www.rottentomatoes.com/m/the_disaster_artist/
Doctor Strange,Action & Adventure,2016-11-04,89%,360,86%,109828,"$165,000,000 ","$232,630,718 ","$677,700,000 ",130,"A disgraced former surgeon named Stephen Strange (Benedict Cumberbatch) becomes a powerful sorcerer under the tutelage of a mystic known as the Ancient One (Tilda Swinton). Rachel McAdams, Mads Mikkelsen, and Chiwetel Ejiofor co-star in this entry in the Marvel Cinematic Universe. Directed by Scott Derrickson (Sinister).","Doctor Strange artfully balances its outré source material against the blockbuster constraints of the MCU, delivering a thoroughly entertaining superhero origin story in the bargain.",Walt Disney Pictures,PG-13 ,https://www.rottentomatoes.com/m/doctor_strange_2016/
Dolemite Is My Name,Drama,2019-10-04,97%,207,91%,113,,"$10,000,000 ",,118,"Stung by a string of showbiz failures, floundering comedian Rudy Ray Moore (Academy Award nominee Eddie Murphy) has an epiphany that turns him into a word-of-mouth sensation: step onstage as someone else. Borrowing from the street mythology of 1970s Los Angeles, Moore assumes the persona of Dolemite, a pimp with a cane and an arsenal of obscene fables. However, his ambitions exceed selling bootleg records deemed too racy for mainstream radio stations to play. Moore convinces a social justice-minded dramatist (Keegan-Michael Key) to write his alter ego a film, incorporating kung fu, car chases, and Lady Reed (Da'Vine Joy Randolph), an ex-backup singer who becomes his unexpected comedic foil. Despite clashing with his pretentious director, D'Urville Martin (Wesley Snipes), and countless production hurdles at their studio in the dilapidated Dunbar Hotel, Moore's Dolemite becomes a runaway box office smash and a defining movie of the Blaxploitation era.","In dramatizing Rudy Ray Moore's stranger-than-fiction story, Eddie Murphy makes Dolemite Is My Name just as bold, brash, and ultimately hard to resist as its subject.",Netflix,R ,https://www.rottentomatoes.com/m/dolemite_is_my_name/
Don't Think Twice,Comedy,2016-07-22,98%,133,69%,19215,"$3,000,000 ","$4,417,983 ","$4,400,000 ",92,"When a member of a popular New York City improv troupe gets cast on a hit TV show, the rest of the group - all best friends - start to realize that not everyone is going to make it after all. From the director of Sleepwalk With Me and the creator of This American Life comes Don't Think Twice, a critically acclaimed comedy packed with comic stars Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia, Kate Micucci, Chris Gethard and Tami Sagher that presents a hilarious and honest look at the lives of professional funny people.",Don't Think Twice offers a bittersweet look at the comedian's life that's as genuinely moving as it is laugh-out-loud funny -- and a brilliant calling card for writer-director Mike Birbiglia.,The Film Arcade,R ,https://www.rottentomatoes.com/m/dont_think_twice/
